League,Era,AvgDrawPct,AvgTotalGoals,Seasons
Bundesliga (Germany),1993-99,28.29,2.889,7
Bundesliga (Germany),2000-04,22.94,2.882,5
Bundesliga (Germany),2005-09,26.99,2.822,5
Bundesliga (Germany),2010-14,23.92,2.926,5
Bundesliga (Germany),2015-19,24.12,2.976,5
Bundesliga (Germany),2020-26,25.16,3.152,6
La Liga (Spain),1993-99,27.93,2.645,7
La Liga (Spain),2000-04,26.32,2.667,5
La Liga (Spain),2005-09,24.63,2.648,5
La Liga (Spain),2010-14,22.84,2.756,5
La Liga (Spain),2015-19,25.37,2.689,5
La Liga (Spain),2020-26,26.58,2.58,6
Ligue 1 (France),1993-99,28.93,2.378,7
Ligue 1 (France),2000-04,28.85,2.31,5
Ligue 1 (France),2005-09,29.47,2.267,5
Ligue 1 (France),2010-14,28.53,2.47,5
Ligue 1 (France),2015-19,26.49,2.588,5
Ligue 1 (France),2020-26,24.55,2.812,6
Premier League (England),1993-99,28.05,2.617,7
Premier League (England),2000-04,26.84,2.621,5
Premier League (England),2005-09,24.63,2.564,5
Premier League (England),2010-14,25.42,2.747,5
Premier League (England),2015-19,23.84,2.744,5
Premier League (England),2020-26,23.55,2.888,6
Serie A (Italy),1993-99,29.18,2.606,7
Serie A (Italy),2000-04,29.91,2.633,5
Serie A (Italy),2005-09,27.95,2.584,5
Serie A (Italy),2010-14,27.05,2.626,5
Serie A (Italy),2015-19,23.74,2.785,5
Serie A (Italy),2020-26,26.93,2.68,6
