Referee,League,MatchesOfficiated,AvgYellowsPerMatch,AvgRedsPerMatch,AvgFoulsPerMatch
S. Farina,Serie A (Italy),36,4.75,0.389,42.86
M. Saccani,Serie A (Italy),32,4.75,0.219,38.94
M. Trefoloni,Serie A (Italy),32,4.66,0.375,37.06
P. Bertini,Serie A (Italy),30,4.47,0.3,37.5
N. Rizzoli,Serie A (Italy),32,4.41,0.281,37.38
D. Messina,Serie A (Italy),33,4.33,0.182,37.3
J Brooks,Premier League (England),74,4.32,0.122,21.77
R. Rosetti,Serie A (Italy),30,4.23,0.267,37.8
T Robinson,Premier League (England),49,4.16,0.061,23.22
D England,Premier League (England),99,3.99,0.111,21.89
P Bankes,Premier League (England),115,3.94,0.122,21.64
T Bramall,Premier League (England),52,3.9,0.173,22.38
S Barrott,Premier League (England),62,3.9,0.048,20.19
D Coote,Premier League (England),112,3.86,0.116,23.48
R Jones,Premier League (England),110,3.86,0.1,22.57
M Salisbury,Premier League (England),61,3.85,0.131,22.74
M Riley,Premier League (England),102,3.83,0.196,29.65
J Gillett,Premier League (England),84,3.74,0.048,20.01
M Dean,Premier League (England),476,3.72,0.202,22.28
S Attwell,Premier League (England),244,3.7,0.131,20.65
S Hooper,Premier League (England),140,3.64,0.071,21.72
P Dowd,Premier League (England),250,3.59,0.216,24.58
C Pawson,Premier League (England),289,3.58,0.138,22.64
T Harrington,Premier League (England),48,3.58,0.104,21.67
C Kavanagh,Premier League (England),193,3.52,0.114,21.21
A Taylor,Premier League (England),432,3.51,0.137,21.03
S Bennett,Premier League (England),139,3.5,0.18,24.01
P Tierney,Premier League (England),195,3.4,0.108,22.04
K Friend,Premier League (England),272,3.38,0.114,21.64
H Webb,Premier League (England),266,3.37,0.113,23.86
G Poll,Premier League (England),61,3.33,0.131,28.34
N Swarbrick,Premier League (England),132,3.33,0.083,20.92
A Madley,Premier League (England),133,3.32,0.105,23.04
M Clattenburg,Premier League (England),276,3.27,0.159,22.46
M Atkinson,Premier League (England),456,3.25,0.147,22.03
R Madley,Premier League (England),93,3.25,0.151,22.19
J Moss,Premier League (England),274,3.23,0.139,21.3
M Oliver,Premier League (England),428,3.22,0.136,21.97
R Styles,Premier League (England),111,3.17,0.225,20.65
M Jones,Premier League (England),202,3.17,0.134,23.4
R East,Premier League (England),91,3.14,0.121,22.6
A Marriner,Premier League (England),388,3.14,0.157,20.79
A Wiley,Premier League (England),145,3.12,0.117,25.62
L Mason,Premier League (England),287,3.07,0.139,22.32
P Walton,Premier League (England),148,2.91,0.128,20.89
U Rennie,Premier League (England),50,2.78,0.06,25.8
C Foy,Premier League (England),227,2.74,0.159,22.05
G Scott,Premier League (England),105,2.68,0.171,20.13
L Probert,Premier League (England),182,2.52,0.17,21.13
M Halsey,Premier League (England),159,2.04,0.113,20.46
D Gallagher,Premier League (England),32,1.97,0.312,23.34
