League,Season,SeasonStartYear,MatchesPlayed,HomeWins,AwayWins,Draws,AvgHomeGoals,AvgAwayGoals,AvgTotalGoals,HomeWinPct,AwayWinPct,DrawPct,HomeAdvantage_WinPctGap,HomeAdvantage_GoalGap
Bundesliga (Germany),1993/94,1993,306,152,71,83,1.7516339869281046,1.173202614379085,2.9248366013071894,49.67,23.2,27.12,26.47,0.578
Bundesliga (Germany),1994/95,1994,306,147,73,86,1.7647058823529411,1.2352941176470589,3.0,48.04,23.86,28.1,24.18,0.529
Bundesliga (Germany),1995/96,1995,306,123,75,108,1.542483660130719,1.173202614379085,2.715686274509804,40.2,24.51,35.29,15.69,0.369
Bundesliga (Germany),1996/97,1996,306,156,80,70,1.7810457516339868,1.196078431372549,2.977124183006536,50.98,26.14,22.88,24.84,0.585
Bundesliga (Germany),1997/98,1997,306,145,76,85,1.6666666666666667,1.2189542483660132,2.8856209150326797,47.39,24.84,27.78,22.55,0.448
Bundesliga (Germany),1998/99,1998,306,144,75,87,1.6895424836601307,1.1405228758169934,2.8300653594771243,47.06,24.51,28.43,22.55,0.549
Bundesliga (Germany),1999/00,1999,306,143,76,87,1.7124183006535947,1.1797385620915033,2.892156862745098,46.73,24.84,28.43,21.89,0.533
Bundesliga (Germany),2000/01,2000,306,160,77,69,1.7712418300653594,1.1601307189542485,2.9313725490196076,52.29,25.16,22.55,27.13,0.611
Bundesliga (Germany),2001/02,2001,306,160,78,68,1.761437908496732,1.1568627450980393,2.918300653594771,52.29,25.49,22.22,26.8,0.605
Bundesliga (Germany),2002/03,2002,306,144,85,77,1.565359477124183,1.1176470588235294,2.683006535947712,47.06,27.78,25.16,19.28,0.448
Bundesliga (Germany),2003/04,2003,306,160,74,72,1.8071895424836601,1.1633986928104576,2.9705882352941178,52.29,24.18,23.53,28.11,0.644
Bundesliga (Germany),2004/05,2004,306,149,92,65,1.673202614379085,1.2352941176470589,2.9084967320261437,48.69,30.07,21.24,18.62,0.438
Bundesliga (Germany),2005/06,2005,306,131,79,96,1.607843137254902,1.2058823529411764,2.8137254901960786,42.81,25.82,31.37,16.99,0.402
Bundesliga (Germany),2006/07,2006,306,134,93,79,1.4640522875816993,1.2712418300653594,2.735294117647059,43.79,30.39,25.82,13.4,0.193
Bundesliga (Germany),2007/08,2007,306,143,85,78,1.6699346405228759,1.1405228758169934,2.810457516339869,46.73,27.78,25.49,18.95,0.529
Bundesliga (Germany),2008/09,2008,306,147,85,74,1.6993464052287581,1.2222222222222223,2.9215686274509802,48.04,27.78,24.18,20.26,0.477
Bundesliga (Germany),2009/10,2009,306,125,95,86,1.5130718954248366,1.3169934640522876,2.8300653594771243,40.85,31.05,28.1,9.8,0.196
Bundesliga (Germany),2010/11,2010,306,141,102,63,1.6470588235294117,1.2745098039215685,2.9215686274509802,46.08,33.33,20.59,12.75,0.373
Bundesliga (Germany),2011/12,2011,306,139,88,79,1.6601307189542485,1.1993464052287581,2.8594771241830066,45.42,28.76,25.82,16.66,0.461
Bundesliga (Germany),2012/13,2012,306,130,98,78,1.591503267973856,1.3431372549019607,2.934640522875817,42.48,32.03,25.49,10.45,0.248
Bundesliga (Germany),2013/14,2013,306,145,97,64,1.7483660130718954,1.411764705882353,3.1601307189542482,47.39,31.7,20.92,15.69,0.337
Bundesliga (Germany),2014/15,2014,306,145,79,82,1.588235294117647,1.1666666666666667,2.7549019607843137,47.39,25.82,26.8,21.57,0.422
Bundesliga (Germany),2015/16,2015,306,135,100,71,1.565359477124183,1.2647058823529411,2.8300653594771243,44.12,32.68,23.2,11.44,0.301
Bundesliga (Germany),2016/17,2016,306,150,82,74,1.6568627450980393,1.2091503267973855,2.866013071895425,49.02,26.8,24.18,22.22,0.448
Bundesliga (Germany),2017/18,2017,306,139,84,83,1.6013071895424837,1.1928104575163399,2.7941176470588234,45.42,27.45,27.12,17.97,0.408
Bundesliga (Germany),2018/19,2018,306,138,95,73,1.7908496732026145,1.3888888888888888,3.179738562091503,45.1,31.05,23.86,14.05,0.402
Bundesliga (Germany),2019/20,2019,306,123,115,68,1.6601307189542485,1.5490196078431373,3.2091503267973858,40.2,37.58,22.22,2.62,0.111
Bundesliga (Germany),2020/21,2020,306,129,96,81,1.6764705882352942,1.3562091503267975,3.0326797385620914,42.16,31.37,26.47,10.79,0.32
Bundesliga (Germany),2021/22,2021,306,143,90,73,1.761437908496732,1.3562091503267975,3.1176470588235294,46.73,29.41,23.86,17.32,0.405
Bundesliga (Germany),2022/23,2022,306,145,86,75,1.8562091503267975,1.3169934640522876,3.173202614379085,47.39,28.1,24.51,19.29,0.539
Bundesliga (Germany),2023/24,2023,306,134,91,81,1.8071895424836601,1.411764705882353,3.218954248366013,43.79,29.74,26.47,14.05,0.395
Bundesliga (Germany),2024/25,2024,306,118,111,77,1.630718954248366,1.5032679738562091,3.133986928104575,38.56,36.27,25.16,2.29,0.127
Bundesliga (Germany),2025/26,2025,306,134,97,75,1.7777777777777777,1.457516339869281,3.235294117647059,43.79,31.7,24.51,12.09,0.32
La Liga (Spain),1993/94,1993,380,188,86,106,1.5921052631578947,1.0078947368421052,2.6,49.47,22.63,27.89,26.84,0.584
La Liga (Spain),1994/95,1994,380,181,86,113,1.5421052631578946,1.0,2.542105263157895,47.63,22.63,29.74,25.0,0.542
La Liga (Spain),1995/96,1995,462,211,121,130,1.5606060606060606,1.1363636363636365,2.696969696969697,45.67,26.19,28.14,19.48,0.424
La Liga (Spain),1996/97,1996,462,220,123,119,1.647186147186147,1.103896103896104,2.7510822510822512,47.62,26.62,25.76,21.0,0.543
La Liga (Spain),1997/98,1997,380,182,88,110,1.581578947368421,1.0736842105263158,2.655263157894737,47.89,23.16,28.95,24.73,0.508
La Liga (Spain),1998/99,1998,380,191,92,97,1.6105263157894736,1.0289473684210526,2.639473684210526,50.26,24.21,25.53,26.05,0.582
La Liga (Spain),1999/00,1999,380,182,86,112,1.5736842105263158,1.055263157894737,2.6289473684210525,47.89,22.63,29.47,25.26,0.518
La Liga (Spain),2000/01,2000,380,199,82,99,1.768421052631579,1.1131578947368421,2.8815789473684212,52.37,21.58,26.05,30.79,0.655
La Liga (Spain),2001/02,2001,380,186,93,101,1.5026315789473683,1.0263157894736843,2.528947368421053,48.95,24.47,26.58,24.48,0.476
La Liga (Spain),2002/03,2002,380,176,99,105,1.5526315789473684,1.1210526315789473,2.6736842105263157,46.32,26.05,27.63,20.27,0.432
La Liga (Spain),2003/04,2003,380,172,113,95,1.481578947368421,1.1894736842105262,2.6710526315789473,45.26,29.74,25.0,15.52,0.292
La Liga (Spain),2004/05,2004,380,192,88,100,1.5157894736842106,1.063157894736842,2.5789473684210527,50.53,23.16,26.32,27.37,0.453
La Liga (Spain),2005/06,2005,380,162,113,105,1.3657894736842104,1.0973684210526315,2.463157894736842,42.63,29.74,27.63,12.89,0.268
La Liga (Spain),2006/07,2006,380,172,110,98,1.3631578947368421,1.1157894736842104,2.4789473684210526,45.26,28.95,25.79,16.31,0.247
La Liga (Spain),2007/08,2007,380,182,111,87,1.55,1.1368421052631579,2.6868421052631577,47.89,29.21,22.89,18.68,0.413
La Liga (Spain),2008/09,2008,380,184,113,83,1.6605263157894736,1.236842105263158,2.8973684210526316,48.42,29.74,21.84,18.68,0.424
La Liga (Spain),2009/10,2009,380,194,91,95,1.6,1.1131578947368421,2.713157894736842,51.05,23.95,25.0,27.1,0.487
La Liga (Spain),2010/11,2010,380,197,104,79,1.6368421052631579,1.105263157894737,2.7421052631578946,51.84,27.37,20.79,24.47,0.532
La Liga (Spain),2011/12,2011,380,188,98,94,1.6789473684210525,1.0842105263157895,2.763157894736842,49.47,25.79,24.74,23.68,0.595
La Liga (Spain),2012/13,2012,380,189,107,84,1.686842105263158,1.1842105263157894,2.8710526315789475,49.74,28.16,22.11,21.58,0.503
La Liga (Spain),2013/14,2013,380,179,115,86,1.631578947368421,1.118421052631579,2.75,47.11,30.26,22.63,16.85,0.513
La Liga (Spain),2014/15,2014,380,171,118,91,1.5368421052631578,1.118421052631579,2.655263157894737,45.0,31.05,23.95,13.95,0.418
La Liga (Spain),2015/16,2015,380,183,105,92,1.618421052631579,1.1263157894736842,2.7447368421052634,48.16,27.63,24.21,20.53,0.492
